No,WELL NAME,ABBREVIATION,UWI,BLOCK #,WELL TYPE,LATITUDE,LONGITUDE,NORTHING,EASTING,MSL,CONTROL PT,DATE,SURVEYOR,OPERATOR,PAS,Remark,GISUPDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BARKI 58D,,S01-058b-05-687-01,HEGLIG 2b DA,SUSP,9572808N,29234541E,1101696.930,762691.290,398.970,BAS-001,"Nov22,1999",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BARKI-1,,S01-037d-05-687-01,HEGLIG 2b DA,,9580763N,29232650E,1102908.390,762106.440,397.870,BAS-001," Feb.20,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BARKI-2,,S01-028d-05-687-01,HEGLIG 2b DA,,9583187N,29234745E,1103658.130,762739.190,399.900,973102," Feb.21,99",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BARKI-3,,S01-058b-05-687-01,HEGLIG 2b DA,,9572989N,29235594E,1101754.750,763011.840,399.470,BAS-001," Feb.20,99",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BARKI-4,,S01-047b-05-687-01,HEGLIG 2b DA,,9574898N,29231869E,1102333.290,761872.430,399.410,BAS-001," Aug.11,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EL BAKH NORTH-1,,S01-062d-35-664-01,HEGLIG 2b DA,,10014486N,29205023E,1109551.270,757297.150,400.650,BAS-001," Nov22,1999",Mirghani,GNPOC,YES,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,EL BAKH-1,,S01-024b-05-687-01,HEGLIG 2b DA,,9584608N,29215681E,1104070.446,759364.936,399.522,BAS-001," Feb.22,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,EL FULL-1,,S01-086c-36-664-01,HEGLIG 2b DA,,10003917N,29273726E,1107622.600,769712.800,400.940,BAS-001," Feb.22,99/ReCalculate 990708",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,EL FULL-2,,S01-065a-36-664-01,HEGLIG 2b DA,,10015956N,29271365E,1110088.340,768975.080,401.160,973102," Feb.16,99",Mirghani,GNPOC,#VALUE!,,GIS DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
